ResponseId,Age,Gender,Gender2,Ethnicity,Ethnicity2,Marital,Employment,Income,swipe1_c_m_a,phys_swipe1_c_m_a,person_swipe1_c_m_a,swipe2_c_m_a,phys_swipe2_c_m_a,person_swipe2_c_a,swipe3_c_f_a,phys_swipe3_c_f_a,person_swipe3_c_f_a,swipe4_c_f_a,phys_swipe4_c_f_a,person_swipe4_c_f_a,swipe5_c_f_a,phys_swipe5_c_f_a,person_swipe5_c_f_a,swipe6_c_m_a,phys_swipe6_c_m_a,person_swipe6_c_m_a,swipe7_c_f_a,phys_swipe7_c_f_a,person_swipe7_c_f_a,swipe8_c_m_a,phys_swipe8_c_m_a,person_swipe8_c_m_a,swipe9_c_m_a,phys_swipe9_c_m_a,person_swipe9_c_m_a,swipe10_c_f_a,phys_swipe10_c_f_a,person_swipe10_c_f_a,swipe11_c_m_a,phys_swipe11_c_m_a,person_swipe11_c_m_a,swipe12_c_f_a,phys_swipe12_c_f_a,person_swipe12_c_f_a,swipe13_c_f_a,phys_swipe13_c_f_a,person_swipe13_c_f_a,swipe14_c_m_a,phys_swipe14_c_m_a,person_swipe14_c_m_a,swipe1_t_m_a,phys_swipe1_t_m_a,person_swipe1_t_m_a,swipe2_t_m_a,phys_swipe2_t_m_a,person_swipe2_t_m_a,swipe3_t_f_a,phys_swipe3_t_f_a,person_swipe3_t_f_a,swipe4_t_f_a,phys_swipe4_t_f_a,person_swipe4_t_f_a,swipe5_t_f_a,phys_swipe5_t_f_a,person_swipe5_t_f_a,swipe6_t_m_a,phys_swipe6_t_m_a,person_swipe6_t_m_a,swipe7_t_f_a,phys_swipe7_t_f_a,person_swipe7_t_f_a,swipe8_t_m_a,phys_swipe8_t_m_a,person_swipe8_t_m_a,swipe9_t_m_a,phys_swipe9_t_m_a,person_swipe9_t_m_a,swipe10_t_f_a,phys_swipe10_t_f_a,person_swipe10_t_f_a,swipe11_t_m_a,phys_swipe11_t_m_a,person_swipe11_t_m_a,swipe12_t_f_a,phys_swipe12_t_f_a,person_swipe12_t_f_a,swipe13_t_f_a,phys_swipe13_t_f_a,person_swipe13_t_f_a,swipe14_t_m_a,phys_swipe14_t_m_a,person_swipe14_t_m_a,swipe1_c_f_b,phys_swipe1_c_f_b,person_swipe1_c_f_b,swipe2_c_f_b,phys_swipe2_c_f_b,person_swipe2_c_f_b,swipe3_c_f_b,phys_swipe3_c_f_b,person_swipe3_c_f_b,swipe4_c_m_b,phys_swipe4_c_m_b,person_swipe4_c_m_b,swipe5_c_m_b,phys_swipe5_c_m_b,person_swipe5_c_m_b,swipe6_c_f_b,phys_swipe6_c_f_b,person_swipe6_c_f_b,swipe7_c_m_b,phys_swipe7_c_m_b,person_swipe7_c_m_b,swipe8_c_m_b,phys_swipe8_c_m_b,person_swipe8_c_m_b,swipe9_c_m_b,phys_swipe9_c_m_b,person_swipe9_c_m_b,swipe10_c_f_b,phys_swipe10_c_f_b,person_swipe10_c_f_b,swipe11_c_f_b,phys_swipe11_c_f_b,person_swipe11_c_f_b,swipe12_c_f_b,phys_swipe12_c_f_b,person_swipe12_c_f_b,swipe13_c_m_b,phys_swipe13_c_m_b,person_swipe13_c_m_b,swipe14_c_m_b,phys_swipe14_c_m_b,person_swipe14_c_m_b,swipe1_t_f_b,phys_swipe1_t_f_b,person_swipe1_t_f_b,swipe2_t_f_b,phys_swipe2_t_f_b,person_swipe2_t_f_b,swipe3_t_f_b,phys_swipe3_t_f_b,person_swipe3_t_f_b,swipe4_t_m_b,phys_swipe4_t_m_b,person_swipe4_t_m_b,swipe5_t_m_b,phys_swipe5_t_m_b,person_swipe5_t_m_b,swipe6_t_f_b,phys_swipe6_t_f_b,person_swipe6_t_f_b,swipe7_t_m_b,phys_swipe7_t_m_b,person_swipe7_t_m_b,swipe8_t_m_b,phys_swipe8_t_m_b,person_swipe8_t_m_b,swipe9_t_m_b,phys_swipe9_t_m_b,person_swipe9_t_m_b,swipe10_t_f_b,phys_swipe10_t_f_b,person_swipe10_t_f_b,swipe11_t_f_b,phys_swipe11_t_f_b,person_swipe11_t_f_b,swipe12_t_f_b,phys_swipe12_t_f_b,person_swipe12_t_f_b,swipe13_t_m_b,phys_swipe13_t_m_b,person_swipe13_t_m_b,swipe14_t_m_b,phys_swipe14_t_m_b,person_swipe14_t_m_b,swipe1_c_f_c,phys_swipe1_c_f_c,person_swipe1_c_f_c,swipe2_c_m_c,phys_swipe2_c_m_c,person_swipe2_c_m_c,swipe3_c_f_c,phys_swipe3_c_f_c,person_swipe3_c_f_c,swipe4_c_f_c,phys_swipe4_c_f_c,person_swipe4_c_f_c,swipe5_c_f_c,phys_swipe5_c_f_c,person_swipe5_c_f_c,swipe6_c_m_c,phys_swipe6_c_m_c,person_swipe6_c_m_c,swipe7_c_f_c,phys_swipe7_c_f_c,person_swipe7_c_f_c,swipe8_c_m_c,phys_swipe8_c_m_c,person_swipe8_c_m_c,swipe9_c_m_c,phys_swipe9_c_m_c,person_swipe9_c_m_c,swipe10_c_f_c,phys_swipe10_c_f_c,person_swipe10_c_f_c,swipe11_c_m_c,phys_swipe11_c_m_c,person_swipe11_c_m_c,swipe12_c_m_c,phys_swipe12_c_m_c,person_swipe12_c_m_c,swipe13_c_f_c,phys_swipe13_c_f_c,person_swipe13_c_f_c,swipe14_c_m_c,phys_swipe14_c_m_c,person_swipe14_c_m_c,swipe1_t_f_c,phys_swipe1_t_f_c,person_swipe1_t_f_c,swipe2_t_m_c,phys_swipe2_t_m_c,person_swipe2_t_m_c,swipe3_t_f_c,phys_swipe3_t_f_c,person_swipe3_t_f_c,swipe4_t_f_c,phys_swipe4_t_f_c,person_swipe4_t_f_c,swipe5_t_f_c,phys_swipe5_t_f_c,person_swipe5_t_f_c,swipe6_t_m_c,phys_swipe6_t_m_c,person_swipe6_t_m_c,swipe7_t_f_c,phys_swipe7_t_f_c,person_swipe7_t_f_c,swipe8_t_m_c,phys_swipe8_t_m_c,person_swipe8_t_m_c,swipe9_t_m_c,phys_swipe9_t_m_c,person_swipe9_t_m_c,swipe10_t_f_c,phys_swipe10_t_f_c,person_swipe10_t_f_c,swipe11_t_m_c,phys_swipe11_t_m_c,person_swipe11_t_m_c,swipe12_t_m_c,phys_swipe12_t_m_c,person_swipe12_t_m_c,swipe13_t_f_c,phys_swipe13_t_f_c,person_swipe13_t_f_c,swipe14_t_m_c,phys_swipe14_t_m_c,person_swipe14_t_m_c,swipe1_c_m_d,phys_swipe1_c_m_d,person_swipe1_c_m_d,swipe2_c_m_d,phys_swipe2_c_m_d,person_swipe2_c_m_d,swipe3_c_f_d,phys_swipe3_c_f_d,person_swipe3_c_f_d,swipe4_c_f_d,phys_swipe4_c_f_d,person_swipe4_c_f_d,swipe5_c_f_d,phys_swipe5_c_f_d,person_swipe5_c_f_d,swipe6_c_f_d,phys_swipe6_c_f_d,person_swipe6_c_f_d,swipe7_c_m_d,phys_swipe7_c_m_d,person_swipe7_c_m_d,swipe8_c_m_d,phys_swipe8_c_m_d,person_swipe8_c_m_d,swipe9_c_f_d,phys_swipe9_c_f_d,person_swipe9_c_f_d,swipe10_c_m_d,phys_swipe10_c_m_d,person_swipe10_c_m_d,swipe11_c_f_d,phys_swipe11_c_f_d,person_swipe11_c_f_d,swipe12_c_f_d,phys_swipe12_c_f_d,person_swipe12_c_f_d,swipe13_c_m_d,phys_swipe13_c_m_d,person_swipe13_c_m_d,swipe14_c_m_d,phys_swipe14_c_m_d,person_swipe14_c_m_d,swipe1_t_m_d,phys_swipe1_t_m_d,person_swipe1_t_m_d,swipe2_t_m_d,phys_swipe2_t_m_d,person_swipe2_t_m_d,swipe3_t_f_d,phys_swipe3_t_f_d,person_swipe3_t_f_d,swipe4_t_f_d,phys_swipe4_t_f_d,person_swipe4_t_f_d,swipe5_t_f_d,phys_swipe5_t_f_d,person_swipe5_t_f_d,swipe6_t_f_d,phys_swipe6_t_f_d,person_swipe6_t_f_d,swipe7_t_m_d,phys_swipe7_t_m_d,person_swipe7_t_m_d,swipe8_t_m_d,phys_swipe8_t_m_d,person_swipe8_t_m_d,swipe9_t_f_d,phys_swipe9_t_f_d,person_swipe9_t_f_d,swipe10_t_m_d,phys_swipe10_t_m_d,person_swipe10_t_m_d,swipe11_t_m_d,phys_swipe11_t_f_d,person_swipe11_t_f_d,swipe12_t_f_d,phys_swipe12_t_f_d,person_swipe12_t_f_d,swipe13_t_m_d,phys_swipe13_t_m_d,person_swipe13_t_m_d,swipe14_t_m_d,phys_swipe14_t_m_d,person_swipe14_t_m_d,ideal_phys_fr,ideal_person_fr
R_r0x1Bdhm5Of2j5f,55-64,Woman,"",White,"",Married,Employed for wages,"$20,000-$34,999",10_m_nonsmile_none,Body Type,Hardworking,3_m_smile_none,Body Type,Kind,8_f_nonsmile_none,Smile,Fun,4_f_nonsmile_none,Smile,Fun,5_f_smile_none,Eyes,Trustworthy,18_m_nonsmile_none,Body Type,Adventurous,7_f_smile_none,Smile,Adventurous,15_m_nonsmile_none,Eyes,Fun,5_m_nonsmile_none,Smile,Kind,6_f_nonesmile_none,Eyes,Kind,13_m_nonsmile_none,Body Type,Hardworking,2_f_nonsmile_none,Eyes,Kind,13_f_nonsmile_none,Eyes,Hardworking,19_m_smile_none,Eyes,Fun,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Body Type,Kind
R_301qiTUrOSQfHoa,25-34,Man,"",White,"",Married,Self-employed,"$20,000-$34,999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",14_f_nonsmile,Eyes,Kind,6_m_nonsmile,Smile,Fun,7_f_nonsmile,Hair,Trustworthy,13_f_smile,Body type,Hardworking,2_f_nonsmile,Eyes,Kind,15_m_nonsmile,Body type,Adventurous,9_f_smile,Eyes,Kind,8_m_smile,Smile,Kind,14_m_nonsmile,Hair,Fun,1_f_nonsmile,Hair,Hardworking,4_m_nonsmile,Hair,Kind,11_m_nonsmile,Body type,Hardworking,5_f_nonsmile,Eyes,Hardworking,17_m_smile,Smile,Trustworthy,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Smile,Kind
R_1hQ1thbB5DHH4iI,35-44,Man,"",White,"",Single,Employed for wages,"$50,000-$74,999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",16_m_nonsmile_nike,Hair,Trustworthy,5_m_smile_nike,Hair,Hardworking,7_f_smile_nike,Smile,Trustworthy,12_f_smile_nike,Smile,Trustworthy,8_f_smile_tjs,Smile,Trustworthy,6_f_smile_none,Smile,Kind,13_m_nonsmile_tjs,Hair,Hardworking,4_m_smile_tjs,Hair,Fun,14_f_smile_nike,Smile,Kind,11_m_smile_tjs,Smile,Fun,15_f_smile_tjs,Smile,Kind,2_f_nonsmile_tjs,Smile,Fun,1_m_smile_tjs,Hair,Adventurous,10_m_nonsmile_none,Hair,Trustworthy,Body Type,Trustworthy
R_2U6nQO5j9iGe8fI,25-34,Man,"",Black or African-American,"",Single,Employed for wages,"$35,000-$49,999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",11_f_smile_nike,Smile,Hardworking,8_f_nonsmile_tjs,Eyes,Kind,1_f_smile_tjs,Smile,Kind,18_m_smile_tjs,Smile,Fun,4_m_smile_tjs,Smile,Fun,2_f_nonsmile_nike,Body Type,Kind,9_m_nonsmile_none,Eyes,Trustworthy,11_m_nonsmile_nike,Eyes,Kind,10_m_nonsmile_nike,Hair,Kind,14_f_nonsmile_nike,Hair,Hardworking,9_f_smile_nike,Eyes,Kind,7_f_smile_tjs,Smile,Adventurous,16_m_smile_nike,Smile,Kind,19_m_smile_tjs,Hair,Fun,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Smile,Kind
R_2CCwDCmZcyrXofx,25-34,Man,"",White,"",Single,Employed for wages,"$50,000-$74,999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3_m_smile_none,Body Type,Kind,5_m_smile_none,Hair,Trustworthy,7_f_smile_none,Smile,Kind,12_f_smile_none,Eyes,Adventurous,10_f_smile_none,Body Type,Trustworthy,4_f_smile_none,Body Type,Kind,9_m_smile_none,Body Type,Hardworking,15_m_nonsmile_none,Hair,Kind,1_f_smile_none,Body Type,Adventurous,11_m_smile_none,Hair,Fun,15_f_smile_none,Hair,Adventurous,2_f_nonsmile_none,Body Type,Hardworking,1_m_smile_none,Smile,Adventurous,10_m_nonsmile_none,Smile,Fun,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Smile,Adventurous
R_3IbJabV0p4BnRnH,25-34,Man,"",White,"",Single,Self-employed,"$50,000-$74,999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",14_f_nonsmile,Body type,Fun,6_m_nonsmile,Body type,Kind,7_f_nonsmile,Smile,Adventurous,13_f_smile,Smile,Hardworking,2_f_nonsmile,Smile,Trustworthy,15_m_nonsmile,Smile,Trustworthy,9_f_smile,Hair,Trustworthy,8_m_smile,Body type,Fun,14_m_nonsmile,Body type,Trustworthy,1_f_nonsmile,Eyes,Hardworking,4_m_nonsmile,Body type,Trustworthy,11_m_nonsmile,Body type,Adventurous,5_f_nonsmile,Smile,Hardworking,17_m_smile,Hair,Kind,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Smile,Hardworking
R_5chY859BqsSF67f,25-34,Man,"",White,"",Married,Employed for wages,"$50,000-$74,999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10_m_nonsmile_nike,Body Type,Hardworking,3_m_smile_nike,Smile,Fun,3_f_smile_none,"",Kind,4_f_nonsmile_none,Smile,Kind,5_f_smile_nike,Smile,Kind,17_m_smile_none,Smile,Fun,7_f_smile_none,Smile,Kind,2_m_nonsmile_tjs,Hair,Hardworking,1_m_smile_nike,Smile,Adventurous,6_f_nonesmile_nike,Eyes,Kind,6_m_smile_nike,Smile,Fun,2_f_nonsmile_none,Body Type,Kind,14_f_smile_nike,Smile,Fun,19_m_smile_none,Smile,Kind,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Smile,Kind
R_1LZQWGL86feNQWc,45-54,Man,"",White,"",Married,Self-employed,"$50,000-$74,999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10_f_smile_nike,Body type,Trustworthy,6_m_nonsmile_nike,Hair,Fun,7_f_nonsmile_nike,Smile,Fun,13_f_smile_tjs,Eyes,Fun,15_f_nonsmile_tjs,Hair,Kind,1_m_smile_none,Body type,Hardworking,9_f_smile_none,Body type,Trustworthy,12_m_nonsmile_nike,Hair,Adventurous,14_m_nonsmile_tjs,Smile,Kind,1_f_nonsmile_nike,Eyes,Adventurous,7_m_smile_nike,Body type,Kind,9_m_smile_nike,Smile,Kind,3_f_nonsmile_nike,Hair,Kind,17_m_smile_nike,Smile,Hardworking,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Smile,Trustworthy
R_27my7pDbCivdmhP,25-34,Man,"",White,"",Married,Employed for wages,"Under $20,000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",14_f_nonsmile,Body type,Hardworking,6_m_nonsmile,Hair,Kind,7_f_nonsmile,Body type,Hardworking,13_f_smile,Eyes,Adventurous,2_f_nonsmile,Eyes,Hardworking,15_m_nonsmile,Smile,Trustworthy,9_f_smile,Smile,Hardworking,8_m_smile,Body type,Fun,14_m_nonsmile,Body type,Kind,1_f_nonsmile,Smile,Adventurous,4_m_nonsmile,Eyes,Fun,11_m_nonsmile,Smile,Kind,5_f_nonsmile,Body type,Kind,17_m_smile,Smile,Adventurous,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Smile,Adventurous
R_1eJgXNq1xLhOM02,25-34,Man,"",White,"",Married,Employed for wages,"$50,000-$74,999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3_m_smile_none,Eyes,Adventurous,5_m_smile_none,Body Type,Trustworthy,7_f_smile_none,Eyes,Adventurous,12_f_smile_none,Smile,Kind,10_f_smile_none,Eyes,Adventurous,4_f_smile_none,Eyes,Adventurous,9_m_smile_none,Eyes,Trustworthy,15_m_nonsmile_none,Body Type,Trustworthy,1_f_smile_none,Smile,Trustworthy,11_m_smile_none,Smile,Hardworking,15_f_smile_none,Hair,Kind,2_f_nonsmile_none,Body Type,Hardworking,1_m_smile_none,Smile,Hardworking,10_m_nonsmile_none,Eyes,Adventurous,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Smile,Trustworthy
R_2zbvdH8u36KEifJ,25-34,Man,"",White,"",Single,Employed for wages,"$50,000-$74,999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",13_f_smile_none,Smile,Adventurous,8_f_nonsmile_none,Body Type,Adventurous,5_f_smile_none,Smile,Kind,6_m_smile_none,Smile,Adventurous,4_m_smile_none,Smile,Fun,10_f_smile_none,Body Type,Trustworthy,7_m_nonsmile_none,Hair,Hardworking,3_m_smile_none,Smile,Hardworking,1_m_smile_none,Smile,Trustworthy,12_f_smile_none,Smile,Fun,9_f_smile_none,Smile,Fun,6_f_nonsmile_none,Body Type,Fun,16_m_smile_none,Eyes,Adventurous,2_m_smile_none,Smile,Kind,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Body Type,Trustworthy
R_2OPVxY7pOIqr6zn,25-34,Man,"",White,"",Married,Employed for wages,"$50,000-$74,999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",11_f_smile_nike,Smile,Trustworthy,3_f_nonsmile_none,Body Type,Kind,5_f_smile_none,Body Type,Fun,6_m_smile_none,Smile,Hardworking,4_m_smile_tjs,Body Type,Trustworthy,10_f_smile_tjs,Smile,Trustworthy,9_m_nonsmile_none,Eyes,Adventurous,11_m_nonsmile_nike,Body Type,Adventurous,10_m_nonsmile_nike,Hair,Hardworking,14_f_nonsmile_nike,Body Type,Fun,4_f_nonsmile_none,Body Type,Fun,6_f_nonsmile_none,Eyes,Kind,14_m_nonsmile_none,Eyes,Hardworking,2_m_nonsmile_none,Hair,Fun,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Body Type,Trustworthy
R_T7ahck4M18hxko9,25-34,Man,"",White,"",Single,Employed for wages,"$50,000-$74,999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",13_f_smile_tjs,Body Type,Hardworking,3_f_nonsmile_none,Hair,Fun,1_f_smile_tjs,Hair,Fun,6_m_smile_none,Body Type,Hardworking,13_m_smile_nike,Body Type,Adventurous,10_f_smile_tjs,Hair,Hardworking,7_m_nonsmile_tjs,Hair,Adventurous,11_m_nonsmile_nike,Smile,Trustworthy,10_m_nonsmile_nike,Eyes,Adventurous,14_f_nonsmile_nike,Smile,Hardworking,4_f_nonsmile_none,Body Type,Kind,6_f_nonsmile_none,Hair,Fun,14_m_nonsmile_none,Body Type,Fun,19_m_smile_tjs,Smile,Trustworthy,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Hair,Hardworking
R_2qxZuiNgAe09Ujj,35-44,Man,"",White,"",Married,Employed for wages,"$20,000-$34,999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",14_m_nonsmile_tjs,Eyes,Fun,16_m_smile_none,Smile,Fun,8_f_nonsmile_tjs,"",Adventurous,15_f_nonsmile_tjs,Body Type,Hardworking,5_f_smile_nike,Smile,Kind,17_m_smile_none,Smile,Adventurous,7_f_smile_none,Body Type,Trustworthy,2_m_nonsmile_tjs,Eyes,Adventurous,5_m_nonsmile_none,Hair,Kind,6_f_nonesmile_nike,Eyes,Trustworthy,6_m_smile_nike,Smile,Trustworthy,1_f_smile_nike,Smile,Kind,14_f_smile_nike,Smile,Fun,19_m_smile_none,Hair,Hardworking,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Smile,Fun
R_3KqNvpoinbKj78I,25-34,Man,"",White,"",Single,Employed for wages,"$50,000-$74,999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",14_m_nonsmile_tjs,Body Type,Adventurous,3_m_smile_nike,Smile,Trustworthy,8_f_nonsmile_tjs,"",Fun,4_f_nonsmile_none,Smile,Fun,5_f_smile_nike,Body Type,Fun,17_m_smile_none,Smile,Kind,10_f_smile_tjs,Smile,Fun,2_m_nonsmile_tjs,Body Type,Trustworthy,5_m_nonsmile_none,Hair,Adventurous,6_f_nonesmile_nike,Eyes,Fun,6_m_smile_nike,Smile,Kind,2_f_nonsmile_none,Eyes,Adventurous,14_f_smile_nike,Smile,Fun,12_m_smile_tjs,Smile,Kind,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Smile,Trustworthy
