photo_block,total_counts,photo_id,smile,logo,treat,survey_block
14_m_nonsmile_tjs_t_block_c,30,14_m,nonsmile,tjs,t,c
15_f_nonsmile_none_c_block_a,0,15_f,nonsmile,none,c,a
15_f_nonsmile_none_c_block_c,0,15_f,nonsmile,none,c,c
15_f_nonsmile_tjs_t_block_a,5,15_f,nonsmile,tjs,t,a
15_f_nonsmile_tjs_t_block_c,9,15_f,nonsmile,tjs,t,c
15_f_smile_none_c_block_d,31,15_f,smile,none,c,d
15_f_smile_tjs_t_block_d,9,15_f,smile,tjs,t,d
15_m_nonsmile_nike_t_block_d,6,15_m,nonsmile,nike,t,d
15_m_nonsmile_none_c_block_a,31,15_m,nonsmile,none,c,a
15_m_nonsmile_none_c_block_c,30,15_m,nonsmile,none,c,c
15_m_nonsmile_none_c_block_d,31,15_m,nonsmile,none,c,d
15_m_nonsmile_none_t_block_a,9,15_m,nonsmile,none,t,a
15_m_nonsmile_tjs_t_block_c,18,15_m,nonsmile,tjs,t,c
16_m_nonsmile_nike_t_block_d,14,16_m,nonsmile,nike,t,d
16_m_nonsmile_none_c_block_d,0,16_m,nonsmile,none,c,d
16_m_smile_nike_t_block_b,26,16_m,smile,nike,t,b
16_m_smile_nike_t_block_c,0,16_m,smile,nike,t,c
16_m_smile_none_c_block_a,0,16_m,smile,none,c,a
16_m_smile_none_c_block_b,32,16_m,smile,none,c,b
16_m_smile_none_c_block_c,0,16_m,smile,none,c,c
16_m_smile_none_t_block_a,17,16_m,smile,none,t,a
17_m_smile_nike_t_block_c,30,17_m,smile,nike,t,c
17_m_smile_none_c_block_a,0,17_m,smile,none,c,a
17_m_smile_none_c_block_c,30,17_m,smile,none,c,c
17_m_smile_none_t_block_a,21,17_m,smile,none,t,a
18_m_nonsmile_none_c_block_a,31,18_m,nonsmile,none,c,a
18_m_nonsmile_tjs_t_block_a,10,18_m,nonsmile,tjs,t,a
18_m_smile_none_c_block_b,0,18_m,smile,none,c,b
18_m_smile_tjs_t_block_b,10,18_m,smile,tjs,t,b
19_m_smile_none_c_block_a,31,19_m,smile,none,c,a
19_m_smile_none_c_block_b,0,19_m,smile,none,c,b
19_m_smile_none_t_block_a,18,19_m,smile,none,t,a
19_m_smile_tjs_t_block_b,17,19_m,smile,tjs,t,b
1_f_nonsmile_nike_t_block_c,30,1_f,nonsmile,nike,t,c
1_f_nonsmile_none_c_block_c,30,1_f,nonsmile,none,c,c
1_f_smile_nike_t_block_a,14,1_f,smile,nike,t,a
1_f_smile_none_c_block_a,0,1_f,smile,none,c,a
1_f_smile_none_c_block_b,0,1_f,smile,none,c,b
1_f_smile_none_c_block_d,31,1_f,smile,none,c,d
1_f_smile_none_t_block_d,10,1_f,smile,none,t,d
1_f_smile_tjs_t_block_b,8,1_f,smile,tjs,t,b
1_m_smile_nike_t_block_a,21,1_m,smile,nike,t,a
1_m_smile_none_c_block_a,0,1_m,smile,none,c,a
1_m_smile_none_c_block_b,32,1_m,smile,none,c,b
1_m_smile_none_c_block_c,0,1_m,smile,none,c,c
1_m_smile_none_c_block_d,31,1_m,smile,none,c,d
1_m_smile_none_t_block_c,12,1_m,smile,none,t,c
1_m_smile_tjs_t_block_b,17,1_m,smile,tjs,t,b
1_m_smile_tjs_t_block_d,17,1_m,smile,tjs,t,d
2_f_nonsmile_nike_t_block_b,18,2_f,nonsmile,nike,t,b
2_f_nonsmile_none_c_block_a,31,2_f,nonsmile,none,c,a
2_f_nonsmile_none_c_block_b,0,2_f,nonsmile,none,c,b
2_f_nonsmile_none_c_block_c,30,2_f,nonsmile,none,c,c
2_f_nonsmile_none_c_block_d,31,2_f,nonsmile,none,c,d
2_f_nonsmile_none_t_block_a,17,2_f,nonsmile,none,t,a
2_f_nonsmile_none_t_block_c,21,2_f,nonsmile,none,t,c
2_f_nonsmile_tjs_t_block_d,30,2_f,nonsmile,tjs,t,d
2_m_nonsmile_none_c_block_a,0,2_m,nonsmile,none,c,a
2_m_nonsmile_none_c_block_c,0,2_m,nonsmile,none,c,c
2_m_nonsmile_none_c_block_d,0,2_m,nonsmile,none,c,d
2_m_nonsmile_none_t_block_b,15,2_m,nonsmile,none,t,b
2_m_nonsmile_tjs_t_block_a,22,2_m,nonsmile,tjs,t,a
2_m_nonsmile_tjs_t_block_c,0,2_m,nonsmile,tjs,t,c
2_m_nonsmile_tjs_t_block_d,14,2_m,nonsmile,tjs,t,d
2_m_smile_none_c_block_b,32,2_m,smile,none,c,b
3_f_nonsmile_nike_t_block_c,7,3_f,nonsmile,nike,t,c
3_f_nonsmile_none_c_block_b,0,3_f,nonsmile,none,c,b
3_f_nonsmile_none_c_block_c,0,3_f,nonsmile,none,c,c
3_f_nonsmile_none_t_block_b,12,3_f,nonsmile,none,t,b
3_f_smile_none_c_block_a,0,3_f,smile,none,c,a
3_f_smile_none_c_block_d,0,3_f,smile,none,c,d
3_f_smile_none_t_block_a,19,3_f,smile,none,t,a
3_f_smile_none_t_block_d,21,3_f,smile,none,t,d
3_m_smile_nike_t_block_a,14,3_m,smile,nike,t,a
3_m_smile_nike_t_block_c,0,3_m,smile,nike,t,c
3_m_smile_none_c_block_a,31,3_m,smile,none,c,a
3_m_smile_none_c_block_b,32,3_m,smile,none,c,b
3_m_smile_none_c_block_c,0,3_m,smile,none,c,c
3_m_smile_none_c_block_d,31,3_m,smile,none,c,d
3_m_smile_tjs_t_block_b,23,3_m,smile,tjs,t,b
3_m_smile_tjs_t_block_d,16,3_m,smile,tjs,t,d
4_f_nonsmile_none_c_block_a,31,4_f,nonsmile,none,c,a
4_f_nonsmile_none_c_block_b,0,4_f,nonsmile,none,c,b
4_f_nonsmile_none_t_block_a,26,4_f,nonsmile,none,t,a
4_f_nonsmile_none_t_block_b,5,4_f,nonsmile,none,t,b
4_f_smile_none_c_block_d,31,4_f,smile,none,c,d
4_f_smile_tjs_t_block_d,9,4_f,smile,tjs,t,d
4_m_nonsmile_none_c_block_c,30,4_m,nonsmile,none,c,c
4_m_nonsmile_tjs_t_block_c,14,4_m,nonsmile,tjs,t,c
4_m_smile_none_c_block_b,32,4_m,smile,none,c,b
4_m_smile_none_c_block_d,0,4_m,smile,none,c,d
4_m_smile_tjs_t_block_b,21,4_m,smile,tjs,t,b
4_m_smile_tjs_t_block_d,24,4_m,smile,tjs,t,d
5_f_nonsmile_none_c_block_c,30,5_f,nonsmile,none,c,c
5_f_nonsmile_none_c_block_d,0,5_f,nonsmile,none,c,d
5_f_nonsmile_tjs_t_block_c,23,5_f,nonsmile,tjs,t,c
5_f_nonsmile_tjs_t_block_d,13,5_f,nonsmile,tjs,t,d
5_f_smile_nike_t_block_a,18,5_f,smile,nike,t,a
5_f_smile_none_c_block_a,31,5_f,smile,none,c,a
5_f_smile_none_c_block_b,32,5_f,smile,none,c,b
5_f_smile_none_t_block_b,24,5_f,smile,none,t,b
5_m_nonsmile_none_c_block_a,31,5_m,nonsmile,none,c,a
5_m_nonsmile_none_t_block_a,10,5_m,nonsmile,none,t,a
5_m_smile_nike_t_block_d,16,5_m,smile,nike,t,d
5_m_smile_none_c_block_d,31,5_m,smile,none,c,d
6_f_nonesmile_nike_t_block_a,26,6_f,nonesmile,nike,t,a
